Bear,Sex,Age, Date ,General Location,Capture type,Release Site,Handler,Year
1080,Male,Adult,8/10/22,"Tepee Crk, CGNF",Research,On site,IGBST,2022
856,Male,Adult,8/14/22,"Rock Crk, CTNF",Research,On site,IDFG,2022
1082,Female,Subadult,8/16/22,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1082,Female,Subadult,8/20/22,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1081,Female,Subadult,8/18/22,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
Unm202211,Unkown,Yearling,8/18/22,"Bear Crk, CTNF",Research,On site,IDFG,2022
1083,Male,Subadult,8/20/22,"Enget Crk, CTNF",Research,On site,IDFG,2022
Unm202212,Female,Subadult,8/20/22,"Tom Miner, ST-MT",Management,Removed (202229),WS/MTFWP,2022
1045,Male,Adult,8/21/22,"Rock Crk, CTNF",Research,On site,IDFG,2022
1084,F emale,Adult,8/24/22,"Tepee Crk, CGNF",Research,On site,IGBST,2022
1085,Male,Adult,8/26/22,"Stephens Crk, YNP",Research,On site,IGBST,2022
699,Male,Adult,8/30/22,"Meadow Crk, Pr-WY",Management,Removed (202230),WYGFD,2022
769,Male,Adult,8/31/22,"Stephens Crk, YNP",Research,On site,IGBST,2022
1086,Female,Adult,9/2/22,"Tepee Crk, BTNF",Management,On site,WYGFD,2022
1087,Male,Adult,9/4/22,"Bridge Crk, YNP",Research,On site,IGBST,2022
1087,Male,Adult,9/5/22,"Arnica Crk, YNP",Research,On site,IGBST,2022
514,Male,Adult,9/10/22,"Pacific Crk, BTNF",Management,Removed (202232),WYGFD,2022
630,Male,Adult,9/15/22,"Cascade Crk, YNP",Research,On site,IGBST,2022
630,Male,Adult,9/17/22,"Antelope Crk, YNP",Research,On site,IGBST,2022
812,Male,Adult,9/17/22,"Antelope Crk, YNP",Research,On site,IGBST,2022
520,Male,Adult,9/19/22,"Cascade Crk, YNP",Research,On site,IGBST,2022
1088,Male,Adult,9/19/22,"Sharp Crk, Pr-MT",Management,Transported,MTFWP,2022
800,Female,Adult,9/20/22,"Yellowstone River, Pr-MT",Management,Removed (202233),MTFWP,2022
Unm202213,Female,Cub,9/21/22,"Yellowstone River, Pr-MT",Management,Removed (202234),MTFWP,2022
G190,F emale,Adult,9/27/22,"Greybull River, Pr-WY",Management,Removed (202236),WYGFD,2022
Unm202214,Male,Cub,9/27/22,"Greybull River, Pr-WY",Management,Removed (202237),WYGFD,2022
Unm202215,Male,Cub,9/27/22,"Greybull River, Pr-WY",Management,Removed (202238),WYGFD,2022
Unm202216,Male,Adult,10/5/22,"South Fork Shoshone, Pr-WY",Management,Removed (202239),WYGFD,2022
804,Male,Adult,10/6/22,"Antelope Crk, YNP",Research,On site,IGBST,2022
Unm202217,Male,Adult,10/8/22,"Greybull River, Pr-WY",Management,Removed (202240),WYGFD,2022
314,Male,Adult,10/12/22,"Henrys Fork, CTNF",Research,On site,IDFG,2022
1089,Female,Adult,10/17/22,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
1089,Female,Adult,11/9/22,"Middle Leigh Crk, Pr-ID",Management,Removed (202242),IDFG,2022
G279,Male,Subadult,10/17/22,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
6279,Male,Subadult,11/9/22,"Middle Leigh Crk, Pr-ID",Management,Removed (202244),IDFG,2022
Unm202218,Male,Subadult,10/17/22,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
Unm202218,Male,Subadult,11/10/22,"Middle Leigh Crk, Pr-ID",Management,Removed (202245),IDFG,2022
416,Female,Adult,10/20/22,"Gallatin River, Pr-MT",Management,Removed (202241),MTFWP,2022
1090,Male,Cub,10/20/22,"Gallatin River, Pr-MT",Management,Transported,MTFWP,2022
1091,Male,Cub,10/20/22,"Gallatin River, Pr-MT",Management,Transported,MTFWP,2022
845,Male,Adult,12/5/22,"Greybull River, Pr-WY",Management,Removed (202247),WYGFD,2022
202101,Female,Yearling,4/6/21,"South Fork Shoshone River, Pr WY",Management,Removed (202101),WYGFD,2021
1020,Male,Adult,4/11/21,"Rawhide Crk, Pr-WY",Management,Transported,WYGFD,2021
449,Male,Adult,4/17/21,"Madison River, CGNF",Management,Removed (202104),MTFWP,2021
1021,Male,Adult,4/26/21,"Rawhide Crk, Pr-WY",Management,Transported,WYGFD,2021
202106,Female,Subadult,5/5/21,"Gooseberry Crk, Pr-WY",Management,Removed (202106),WYGFD,2021
202107,Male,Subadult,5/5/21,"Gooseberry Crk, Pr-WY",Management,Removed (202107),WYGFD,2021
1022,Male,Subadult,5/7/21,"Snake River, Pr-WY",Management,Transported,WYGFD,2021
1022,Male,Subadult,5/22/21,"Snake River, Pr-WY",Management,Removed (202112),WYGFD,2021
202108,Male,Adult,5/11/21,"Carbon County, Pr-MT",Management,Removed (202108),WS/MTFWP,2021
639,Male,Adult,5/12/21,"Grace Crk, SNF",Research,On site,WYGFD,2021
Unm202105,Unk,Yearling,5/13/21,"Rock Crk, ST-MT",Management,On site,WS/MTFWP,2021
1023,Male,Subadult,5/14/21,"Cougar Crk, SNF",Research,On site,WYGFD,2021
885,Male,Adult,5/31/21,"Belknap Crk, Pr-WY",Research,On site,WYGFD,2021
1024,Male,Subadult,6/4/21,"Antelope Crk, YNP",Research,On site,IGBST/YNP,2021
1024,Male,Subadult,6/6/21,"Antelope Crk, YNP",Research,On site,IGBST/YNP,2021
1024,Male,Subadult,6/26/21,"Cascade Crk, YNP",Research,On site,IGBST/YNP,2021
1025,Female,Adult,6/5/21,"Timber Crk, BLM-WY",Research,On site,WYGFD,2021
202115,Male,Subadult,6/5/21,"Grinnell Crk, SNF",Management,Removed (202115),WYGFD,2021
887,Male,Adult,6/6/21,"Stephens Crk, YNP",Research,On site,IGBST/YNP,2021
1026,Male,Adult,6/8/21,"Rock Crk, SNF",Research,On site,WYGFD,2021
1027,Female,Adult,6/9/21,"Belknap Crk, Pr-WY",Research,On site,WYGFD,2021
749,Female,Adult,6/13/21,"Stephens Crk, YNP",Research,On site,IGBST/YNP,2021
Unm202107,Unk,Subadult,6/13/21,"Gibbon River, YNP",Research,On site,IGBST/YNP,2021
1028,Male,Subadult,6/14/21,"Snake River, JDR",Management,Transported,GTNP,2021
1028,Male,Subadult,9/21/21,"Snake River, Pr-WY",Management,Removed (202146),WYGFD,2021
1029,Male,Subadult,6/15/21,"North Fork Shoshone, SNF",Management,Transported,WYGFD,2021
981,Female,Subadult,6/16/21,"Gibbon River, YNP",Research,On site,IGBST/YNP,2021
Unm202108,Male,Adult,6/16/21,"Antelope Crk, YNP",Research,On site,IGBST/YNP,2021
1030,Male,Subadult,6/21/21,"North Fork Shoshone, SNF",Management,Transported,WYGFD,2021
1031,Female,Adult,6/27/21,"Jack Crk, SNF",Research,On site,WYGFD,2021
967,Male,Adult,6/27/21,"Haymaker Crk, SNF",Research,On site,WYGFD,2021
1032,Female,Subadult,6/27/21,"Betty Crk, SNF",Research,On site,WYGFD,2021
980,Female,Adult,6/28/21,"Gibbon River, YNP",Research,On site,IGBST,2021
476,Female,Adult,6/28/21,"Boulder Crk, SNF",Research,On site,WYGFD,2021
635,Male,Adult,6/28/21,"Robinson Crk, SNF",Research,On site,WYGFD,2021
1033,Male,Subadult,6/28/21,"Gentian Crk, SNF",Research,On site,WYGFD,2021
1034,Female,Adult,6/29/21,"Greybull River, SNF",Research,On site,WYGFD,2021
1035,Female,Adult,6/29/21,"Francs Fork, SNF",Research,On site,WYGFD,2021
1036,Male,Adult,6/29/21,"Anderson Crk, SNF",Research,On site,WYGFD,2021
538,Male,Adult,6/29/21,"Dundee Crk, SNF",Research,On site,WYGFD,2021
881,Male,Adult,6/30/21,"Cascade Crk, YNP",Research,On site,IGBST,2021
970,Male,Adult,6/30/21,"Cascade Crk, YNP",Research,On site,IGBST,2021
1037,Male,Adult,7/2/21,"Henrys Fork, CTNF",Research,On site,IDFG,2021
800,Female,Adult,7/7/21,"Slip and Slide Crk, CGNF",Research,On site,IGBST,2021
556,Male,Adult,7/7/21,"Henrys Fork, CTNF",Research,On site,IDFG,2021
1038,Female,Subadult,7/10/21,"Cream Crk, CGNF",Research,On site,IGBST,2021
1038,Female,Subadult,8/24/21,"Jesse Crk, CTNF",Research,On site,IDFG,2021
202119,Male,Adult,7/10/21,"Blaine Crk, Pr-WY",Management,Removed (202119),WYGFD,2021
906,Female,Adult,7/10/21,"Jessie Crk, CTNF",Research,On site,IDFG,2021
1039,Male,Subadult,7/12/21,"Tosi Crk, BTNF",Management,Transported,WYGFD,2021
1040,Male,Subadult,7/13/21,"Gypsum Crk, BTNF",Management,Transported,WYGFD,2021
1041,Female,Subadult,7/18/21,"Tosi Crk, BTNF",Management,Transported,WYGFD,2021
1041,Female,Subadult,8/25/21,"Tepee Crk, BTNF",Management,Transported,WYGFD,2021
902,Male,Adult,7/21/21,"Cottonwood Crk, BDNF",Management,Removed (202122),WS/MTFWP,2021
886,Female,Adult,7/21/21,"Sulfur Crk, Pr-WY",Management,Transported,WYGFD,2021
G272,Female,Subadult,7/21/21,"Sulfur Crk, Pr-WY",Management,Transported,WYGFD,2021
1042,Female,Adult,7/22/21,"Duck Crk, BLM-ID",Management,On site,WS/IDFG,2021
1043,Female,Subadult,7/23/21,"South Fork Fish Crk, BTNF",Management,Transported,WYGFD,2021
1043,Female,Subadult,10/10/21,"Greybull River, Pr-WY",Management,Removed (202163),WYGFD,2021
908,Male,Adult,7/24/21,"Cream Crk, CGNF",Research,On site,IGBST,2021
202123,Male,Subadult,7/25/21,"Badger Crk, Pr-WY",Management,Removed (202123),WYGFD,2021
706,Female,Adult,7/26/21,"Henrys Fork, CTNF",Research,On site,IDFG,2021
202124,Male,Subadult,7/28/21,"Greybull River, Pr-WY",Management,Removed (202124),WYGFD,2021
202125,Female,Subadult,7/28/21,"Greybull River, Pr-WY",Management,Removed (202125),WYGFD,2021
1044,Female,Adult,7/28/21,"Crow Crk, CTNF",Research,On site,WYGFD,2021
1045,Male,Subadult,7/29/21,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
1045,Male,Subadult,8/9/21,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
1045,Male,Subadult,8/17/21,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
202126,Male,Adult,7/30/21,"squaw Crk, Pr-WY",Management,Removed (202126),WYGFD,2021
713,Male,Adult,7/30/21,"Bear Crk, CTNF",Research,On site,IDFG,2021
1046,Female,Subadult,7/31/21,"Little Twin Crk, BTNF",Management,Transported,WYGFD,2021
946,Male,Adult,8/2/21,"Gros Ventre River, Pr-WY",Management,Removed (202128),WYGFD,2021
566,Male,Adult,8/3/21,"Icehouse Crk, ST-ID",Management,Transported,IDFG,2021
782,Male,Adult,8/5/21,"Ingals Crk, CTNF",Research,On site,IDFG,2021
898,Female,Adult,8/6/21,"Camp Crk, SNF",Management,Removed (202130),WYGFD,2021
913,Female,Adult,8/7/21,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
913,Female,Adult,8/13/21,"Wyoming Crk, CTNF",Research,On site,IDFG,2021
1047,Male,Adult,8/7/21,"Crow Crk, CTNF",Research,On site,WYGFD,2021
1048,Male,Subadult,8/7/21,"Gros Ventre River, Pr-WY",Management,Transported,WYGFD,2021
1048,Male,Subadult,8/28/21,"Snake River, Pr-WY",Management,Removed (202140),WYGFD,2021
1049,Female,Adult,8/8/21,"Red Crk, WRIR",Research,On site,WYGFD,2021
202131,Male,Adult,8/8/21,"Willow Crk, Pr-WY",Management,Removed (202131),WYGFD,2021
912,Female,Adult,8/11/21,"Eldridge Crk, CGNF",Research,On site,IGBST,2021
202132,Female,Adult,8/11/21,"Slab Crk, Pr-WY",Management,Removed (202132),WYGFD,2021
531,Female,Adult,8/14/21,"Crow Crk, CTNF",Research,On site,WYGFD,2021
940,Male,Adult,8/14/21,"East Dry Crk, CTNF",Research,On site,IDFG,2021
1050,Male,Adult,8/15/21,"Meadow Crk, Pr-WY",Management,Transported,WYGFD,2021
890,Male,Adult,8/16/21,"Wagon Crk, BTNF",Management,Removed,WYGFD,2021
1012,Female,Subadult,8/17/21,"Bootjack Crk, CTNF",Research,On site,IDFG,2021
202134,Female,Subadult,8/18/21,"Fox Crk, BDNF",Management,Removed (202134),WS,2021
1051,Male,Subadult,8/19/21,"Ingals Crk, CTNF",Research,On site,IDFG,2021
202135,Male,Subadult,8/20/21,"Warm Spring Crk, Pr-WY",Management,Removed (202135),WYGFD,2021
202136,Male,Subadult,8/20/21,"Warm Spring Crk, Pr-WY",Management,Removed (202136),WYGFD,2021
G269,Male,Subadult,8/21/21,"Upper Green, WY",Management,Removed (202137),WYGFD,2021
424,Male,Adult,8/23/21,"Ingals Crk, CTNF",Research,On site,IDFG,2021
424,Male,Adult,8/24/21,"Ingals Crk, CTNF",Research,On site,IDFG,2021
424,Male,Adult,8/25/21,"Ingals Crk, CTNF",Research,On site,IDFG,2021
951,Male,Adult,8/24/21,"South Fork Fish Crk, BTNF",Management,Removed (202138),WYGFD,2021
560,Female,Adult,8/25/21,"Trout Crk, SNF",Management,Transported,WYGFD,2021
G273,Female,cub,8/26/21,"Bear Crk, Pr-MT",Management,On site,WS/MTFWP,2021
202141,Male,Adult,9/1/21,"Meadow Crk, Pr-WY",Management,Removed (202141),WYGFD,2021
974,Female,Adult,9/4/21,"Middle Fork owl Crk, BLM-WY",Management,Removed (202143),WYGFD,2021
864,Female,Adult,9/6/21,"Bridge Crk, YNP",Research,On site,IGBST,2021
1052,Male,Adult,9/9/21,"Cascade Crk, YNP",Research,On site,IGBST,2021
804,Male,Adult,9/9/21,"Cascade Crk, YNP",Research,On site,IGBST,2021
1053,Male,Adult,9/11/21,"Gypsum Crk, BTNF",Management,Transported,WYGFD,2021
202145,Male,Adult,9/15/21,"Clarks Fork Yellowstone, Pr-WY",Management,Removed (202145),WYGFD,2021
G274,Male,Adult,9/15/21,"Arnica Crk, YNP",Research,On site,IGBST,2021
953,Male,Adult,9/22/21,"Flat Mountain Crk, YNP",Research,On site,IGBST,2021
202153,Female,Adult,9/27/21,"East Fork Wind River, SNF",Management,Removed (202153),WYGFD,2021
1054,Female,Adult,10/2/21,"Jasper Crk, YNP",Research,On site,IGBST,2021
1017,Female,Subadult,10/1/21,"Snake River, Pr-WY",Management,Removed (202159),WYGFD,2021
957,Female,Adult,10/5/21,"Carbon County, Pr-MT",Management,Removed (202161),WS/MTFWP,2021
202162,Female,Subadult,10/5/21,"Carbon County, Pr-MT",Management,Removed (202162),WS/MTFWP,2021
1055,Male,Adult,10/10/21,"Greybull River, Pr-WY",Management,Transported,WYGFD,2021
962,Female,Adult,10/16/21,"Snake River, GTNP",Management,Removed (202166),GTNP,2021
202167,Male,Adult,10/18/21,"Shoshone River, Pr-WY",Management,Removed (202167),WYGFD,2021
991,Male,Adult,10/22/21,"squaw Crk, Pr-WY",Management,Removed,WYGFD,2021
202169,Female,Adult,10/26/21,"Meeteetse Crk, Pr WY",Management,Removed (202169),WYGFD,2021
1056,Male,Subadult,10/26/21,"Meeteetse Crk, Pr WY",Management,On site,WYGFD,2021
1057,Male,Subadult,11/6/21,"Snake River, BTNF",Management,On site,IGBST,2021
1058,Male,Subadult,11/6/21,"Snake River, BTNF",Management,On site,IGBST,2021
Unm202125,Female,Subadult,11/6/21,"Snake River, BTNF",Management,On site,IGBST,2021
984,Male,Subadult,4/25/20,"Cottonwood Crk, BOR-WY",Management,Removed (202001),WYGFD,2020
802,Male,Adult,4/29/20,"Snake River, Pr-WY",Management,Removed (202002),WYGFD,2020
834,Male,Adult,5/5/20,"North Fork Shoshone, Pr-WY",Management,Removed (202003),WYGFD,2020
987,Male,Adult,5/7/20,"South Fork Shoshone, Pr-WY",Management,Transported,WYGFD,2020
987,Male,Adult,6/26/20,"Green Crk, SNF",Research,On site,WYGFD,2020
Unm202001,Male,Subadult,5/9/20,"Cottonwood Crk, BOR-WY",Management,Removed (202005),WYGFD,2020
988,Male,Subadult,5/17/20,"South Fork Shoshone, Pr-WY",Management,Transported,WYGFD,2020
989,Female,Adult,5/16/20,"Hotel Crk, BLM-ID",Management,Transported,IDFG,2020
G264,Female,Subadult,5/16/20,"Hotel Crk, BLM-ID",Management,Transported,IDFG,2020
990,Male,Subadult,5/21/20,"Brent Crk, SNF",Research,On site,WYGFD,2020
990,Male,Subadult,6/1/20,"Brent Crk, SNF",Research,On site,WYGFD,2020
991,Male,Subadult,5/22/20,"Clarks Fork River, Pr-WY",Management,Transported,WYGFD,2020
G265,Male,Subadult,5/27/20,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,5/30/20,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,6/3/20,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,6/10/20,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,6/14/20,"Brent Crk, SNF",Research,On site,WYGFD,2020
G265,Male,Subadult,6/18/20,"Brent Crk, SNF",Research,On site,WYGFD,2020
G266,Male,Subadult,5/27/20,"Horse Crk, SNF",Research,On site,WYGFD,2020
992,Female,Subadult,6/5/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
993,Male,Adult,6/5/20,"Charlie Crk, SNF",Research,On site,WYGFD,2020
994,Male,Subadult,6/6/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
409,Female,Adult,6/6/20,"East Fork Long Crk, SNF",Research,On site,WYGFD,2020
879,Male,Adult,6/7/20,"Wolf Crk, Pr-MT",Management,Removed (202008),WS/MTFWP,2020
995,Male,Adult,6/8/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
996,Male,Adult,6/12/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
996,Male,Adult,7/3/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
747,Female,Adult,6/13/20,"West Fork Long Crk, SNF",Research,On site,WYGFD,2020
Unm202002,Female,Adult,6/17/20,"South Dry Crk, ST-MT",Management,Removed (202009),WS,2020
Unm202003,Male,Adult,6/17/20,"South Fork owl Crk, Pr-WY",Management,Removed (202010),WYGFD,2020
Unm202004,Female,Subadult,6/18/20,"Ghost Crk, SNF",Management,Removed (202011),WYGFD,2020
Unm202005,Male,Adult,6/19/20,"Bear Crk, Pr-MT",Management,Removed (202012),WS/MTFWP,2020
997,Male,Subadult,6/20/20,"Brent Crk, SNF",Research,On site,WYGFD,2020
978,Male,Subadult,6/20/20,"Trout Crk,SNF",Research,On site,WYGFD,2020
998,Female,Adult,6/21/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
999,Female,Adult,6/23/20,"Trout Crk,SNF",Research,On site,WYGFD,2020
1000,Male,Yearling,6/26/20,"Trout Crk,SNF",Research,On site,WYGFD,2020
G267,Male,Yearling,6/26/20,"Trout Crk,SNF",Research,On site,WYGFD,2020
1001,Female,Subadult,7/1/20,"Crow Crk, CTNF",Management,Transported,WYGFD,2020
936,Male,Adult,7/3/20,"Fence Crk, BTNF",Management,Removed (202014),WYGFD,2020
Unm202006,Male,Subadult,7/3/20,"Grayling Arm, Hebgen Lake, CGNF",Management,Removed (202015),MTFWP,2020
588,Male,Adult,7/6/20,"Sheridan Crk, CTNF",Research,On site,IDFG,2020
373,Male,Adult,7/7/20,"Warm River, CTNF",Research,On site,IDFG,2020
Unm202007,Male,Subadult,7/12/20,"West Rosebud Crk, PrMT",Management,Removed (202016),WS/MTFWP,2020
899,Female,Adult,7/14/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
899,Female,Adult,8/6/20,"Bear Crk, CTNF",Research,On site,IDFG,2020
Unm202008,Unknown,Yearling,7/15/20,"Deadman Crk, Pr-MT",Research,On site,IGBST,2020
Unm202009,Unknown,Yearling,7/15/20,"Deadman Crk, Pr-MT",Research,On site,IGBST,2020
Unm202010,Unknown,Yearling,7/15/20,"Deadman Crk, Pr-MT",Research,On site,IGBST,2020
653,Male,Adult,7/17/20,"Warm River, CTNF",Research,On site,IDFG,2020
653,Male,Adult,7/25/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
1002,Male,Adult,7/22/20,"Wagon Crk, BTNF",Management,Transported,WYGFD,2020
Unm202011,Female,Subadult,7/23/20,"Bear Crk, Pr-MT",Management,Removed (202017),WS/MTFWP,2020
G268,Male,Subadult,7/23/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
G268,Male,Subadult,7/26/20,"Henrys Fork, CTNF",Research,On site,IDFG,2020
1003,Female,Adult,7/24/20,"Eldridge Crk, CGNF",Research,On site,IGBST,2020
1003,Female,Adult,8/6/20,"Deadhorse Crk, CGNF",Research,On site,IGBST,2020
1004,Male,Adult,7/26/20,"Eldridge Crk, CGNF",Research,On site,IGBST,2020
1005,Female,Subadult,7/26/20,"Cream Crk, CGNF",Research,On site,IGBST,2020
1006,Male,Subadult,7/28/20,"Buffalo Fork, Pr-WY",Management,Transported,WYGFD,2020
1006,Male,Subadult,8/7/20,"Eagle Crk, SNF",Management,Removed (202021),WYGFD,2020
686,Female,Adult,7/29/20,"Eldridge Crk, CGNF",Research,On site,IGBST,2020
1007,Male,Adult,7/30/20,"Deadhorse Crk, CGNF",Research,On site,IGBST,2020
168,Male,Adult,7/30/20,"Wagon Crk, BTNF",Management,Removed (202018),WYGFD,2020
813,Male,Adult,7/30/20,"Tom Miner Crk, Pr-MT",Management,Removed (202019),MTFWP,2020
G269,Male,Subadult,7/31/20,"Leidy Crk, BTNF",Research,On site,WYGFD,2020
G269,Male,Subadult,8/5/20,"Dry Lake Crk, BTNF",Research,On site,WYGFD,2020
Unm202012,Unknown,Yearling,7/31/20,"Jesse Crk, CTNF",Research,On site,IDFG,2020
Unm202013,Female,Subadult,8/2/20,"South Fork Shoshone, Pr-WY",Management,Removed (202020),WYGFD,2020
949,Female,Subadult,8/2/20,"Warm River, CTNF",Research,On site,IDFG,2020
687,Male,Adult,8/2/20,"Bear Crk, CTNF",Research,On site,IDFG,2020
Unm202014,Unknown,Yearling,8/2/20,"Jesse Crk, CTNF",Research,On site,IDFG,2020
1008,Male,Adult,8/3/20,"North Fork SPread Crk, BTNF",Research,On site,WYGFD,2020
913,Female,Adult,8/7/20,"Bear Crk, CTNF",Research,On site,IDFG,2020
